eventnum,well,X531.40..488.,X572.27..488.,X692.40..488.,Trigger.Pulse.Width,SSC,FSC,estimated_diameter
82813,B05,143.825838312809,25.0356902866487,45.3222054496051,22102,4.08398355248626,4.00047735509205,0.31
80850,B06,12.3919498860896,2.07120527991426,4.03945935095488,9579,3.0261886361884,1.02677340055656,0.18
78954,B07,130.864330920813,14.6828067241626,55.74627082112,22595,4.21104273147486,1.80395452711431,0.23
76623,B08,160.263264304859,18.9197983757214,57.8859602687958,22760,11.7988146539222,6.10270617938503,0.36
74536,B09,289.432870327444,67.7345963207847,316.450055210545,24449,40.7252052006224,53.8216529167357,0.85
72265,B10,150.695604836631,23.056478080885,108.7521842281,23202,5.3212441237463,4.12262032301954,0.31
70368,B11,188.058077562289,30.5052789026703,41.214617109424,25145,8.48376963201691,7.56775885921381,0.39
67579,B13,68.001662627165,10.588667440779,39.6298529579928,18580,5.47447258375402,3.47499824701644,0.29
65224,B14,138.334395230063,19.1956633610178,28.3953398109452,21921,3.39152878811048,3.11902283758948,0.28
63864,B15,91.1672526024004,13.3502156562999,59.8128413446069,19473,4.9171270039531,4.45517477665148,0.32
62017,B16,209.344625822304,29.4893722271529,65.1209463421786,23450,10.8736901417868,2.82004700750534,0.27
60192,B17,42.9954849304747,7.42240134023744,37.7966764754836,18164,7.33117083583366,2.51732878223251,0.26
57856,B18,23.4683954948548,9.82171889188038,29.9782750982565,13140,14.0410602319057,5.83351307724252,0.36
56215,B19,201.833232495271,33.8391110240892,155.887057192599,23723,333.762469429204,394.409407853053,1.84
54494,B20,203.828607129154,29.5640657966192,114.026773560783,23346,16.5784321816473,43.1710757918116,0.78
52514,B21,240.155846627074,36.1396047465819,80.4823564406176,24438,35.5102724090203,23.8072363983147,0.62
50291,B22,80.2903009804058,16.6929917862262,22.5945609274645,18951,12.9292182219166,2.92047909289442,0.27
48776,B23,57.5048652143538,9.42417113774147,24.2666466089347,16668,4.45642720107369,1.36231438903694,0.2
91294,C02,267.452150178138,31.1464248404888,82.6255299116468,24631,9.48396070939012,3.66510916047933,0.3
93547,C03,43.2804237197278,10.2966348710731,30.1811878285801,15620,3.7279679326368,2.13174548369618,0.24
95062,C04,87.4279692053503,7.62433812921125,37.4319271964377,19375,13.1177360128493,1.33859114953396,0.2
97007,C05,390.767957885247,47.7211540221252,128.350757904147,27016,31.6005632969368,20.2287589032056,0.58
98938,C06,72.9212330882339,8.16329017549944,41.0931592557872,19667,10.3823672460459,2.00025988717751,0.23
101067,C07,253.080845878968,40.3378633700422,79.1920600613814,24164,19.7511897693177,25.8218470701163,0.64
103272,C08,29.7014957245451,4.65618025842319,11.6145514299508,13313,5.38821991223117,1.56347808026053,0.21
105659,C09,194.126997499833,25.1450011695095,83.7713864259831,22868,16.2577174059806,29.1064512294889,0.67
107713,C10,17.4020569637223,4.63007876271789,18.2974317844501,12570,10.1230191541344,1.02619635741244,0.18
109147,C11,70.0483563471604,8.05162962378733,31.9354074083347,18100,6.45106395800731,3.1480880804845,0.28
111111,C13,113.882638224556,14.8300487316291,33.4372811617742,21792,11.4412026938236,1.70822056243209,0.22
113084,C14,156.523690148082,26.2610159483393,86.256337867192,22549,4.58410844231722,3.87268965417003,0.3
115370,C15,86.6207760468981,12.4373129567345,20.8229607482901,19395,5.6694383756463,1.426983479799,0.21
117415,C16,75.1793614812697,9.03255358926974,37.4845705016215,18240,12.2568509888967,2.27730854120339,0.25
119749,C17,73.2396219274035,14.6683693149612,38.020435737922,18526,8.51961406546015,3.12912104376535,0.28
122237,C18,130.533702378057,20.1266721671071,95.6695928681046,21206,8.71703224229159,4.73204458779987,0.33
125504,C19,1173.59714131624,269.111118086706,1313.43384495353,31577,820.239027941752,1141.55046999057,2.78
127674,C20,125.039117089834,21.5827333580781,52.4772058694792,20499,6.7033816363287,4.91022139415065,0.33
129510,C21,72.5226446304112,9.95093225311089,48.730983419171,18047,3.56603054310289,4.10642935150883,0.31
131487,C22,15.778259047514,3.51774738151308,4.53859454403506,11768,2.34354364962674,1.02634058778857,0.18
133788,C23,108.920436973524,16.9030979683622,43.8868069623724,20917,3.85639615008773,2.57132072336665,0.26
181518,D02,463.007876271789,116.537926101251,429.290684839255,26663,97.4472373417406,80.3580328719142,0.99
179091,D03,64.3476535424984,10.0281472674418,36.579049976024,17900,15.9723618556879,1.61393389378475,0.22
177095,D04,123.72807660375,17.8428754415846,73.4354502063581,21216,1.65900858272744,1.97040574038076,0.23
174930,D05,302.576336963416,37.6535271147944,50.0145861659472,25451,6.78393899106515,8.55801506936062,0.41
172844,D06,146.271977502612,23.4420245908955,51.3825235177558,21893,9.70781702430648,2.65579369749691,0.26
170418,D07,68.0112201599972,10.6618368178191,52.7433813515611,17547,7.48630605786448,3.38962276051551,0.29
168233,D08,19.122962605439,1.19540384509736,5.88870137642924,14530,2.54436031569983,1.21830042168801,0.19
166163,D09,276.316137845464,36.1904305625201,71.0197917561045,24492,5.40566491293424,5.27433813515611,0.34
164147,D10,11.253031414,2.4362325981517,2.28243510043836,10316,1.21300420023283,1.81974177719572,0.23
161565,D11,72.2276713548206,9.16167955760119,55.48053304129,21046,6.75824581854097,2.97767265811759,0.27
159124,D13,144.575670410678,20.4776113841516,64.8287395986497,21037,6.3440728887331,3.68473491869522,0.3
156929,D14,56.3132187649664,11.7359714131624,53.9655613829976,18010,9.39903996186809,2.5340115715189,0.26
154604,D15,10.7415485204786,2.4731446128326,1.21505161373275,8005,1.58293430315868,1.02677340055656,0.18
152728,D16,18.9464066963318,4.96085622593957,16.8746155314191,13617,5.53870459901661,1.02619635741244,0.18
150878,D17,37.8391955216287,5.9644957088734,5.65431984152386,15671,5.10155574668031,1.3868478213149,0.2
148510,D18,64.9838107998601,10.4072020056019,60.7276157517016,17399,16.1416072979997,2.63090387412391,0.26
146411,D19,70.7806506852555,8.28930398594365,42.8386659111982,21316,5.45527196045635,2.82202933177563,0.27
144391,D20,147.406986017572,20.154977804155,29.0941820728123,22432,5.86392593907577,3.13044060917709,0.28
142596,D21,106.259357962759,18.1106722134449,48.3217958727362,21917,4.30257081831594,2.31441330856064,0.25
139175,D22,266.96396057361,53.8519175104425,155.427664173707,25152,27.7522589939684,22.4836945077985,0.6
136891,D23,28.4392708263481,6.51942035907182,6.82218260710601,15124,9.44273183406925,1.7173676634514,0.22
